# c1_x c1_y c1_z c2_x c2_y c2_z obs_x obs_y obs_z Bx By Bz cs
-600 0 0 600 0 0 -80 336 0 18.5899 -245.451 47.2527 1
-600 0 0 600 0 0 -80 368 0 19.6146 -231.764 42.7337 1
-600 0 0 600 0 0 -80 400 0 20.0831 -218.591 38.8094 1
-600 0 0 600 0 0 -48 -400 0 -11.8976 -218.339 -39.9973 1
-600 0 0 600 0 0 -48 -368 0 -11.5845 -231.212 -44.1827 1
-600 0 0 600 0 0 -48 -336 0 -10.938 -244.574 -49.0516 1
-600 0 0 600 0 0 -48 -304 0 -10.1805 -259.774 -54.1483 1
-600 0 0 600 0 0 -48 -272 0 -9.05097 -275.398 -59.6103 1
-600 0 0 600 0 0 -48 -240 0 -7.86827 -294.4 -65.1243 1
-600 0 0 600 0 0 -48 -208 0 -6.5452 -313.899 -68.2698 1
-600 0 0 600 0 0 -48 -176 0 -5.26669 -337.489 -69.6492 1
-600 0 0 600 0 0 -48 -144 0 -4.30011 -359.415 -58.6655 1
-600 0 0 600 0 0 -48 -112 0 -3.34964 -374.131 -47.0727 1
-600 0 0 600 0 0 -48 -80 0 -2.44749 -386.362 -33.6525 1
-600 0 0 600 0 0 -48 -48 0 -1.50692 -393.126 -20.2119 1
-600 0 0 600 0 0 -48 -16 0 -0.502307 -396.931 -6.73729 1
-600 0 0 600 0 0 -48 16 0 0.502307 -396.931 6.73729 1
-600 0 0 600 0 0 -48 48 0 1.50692 -393.126 20.2119 1
-600 0 0 600 0 0 -48 80 0 2.44749 -386.362 33.6525 1
-600 0 0 600 0 0 -48 112 0 3.34964 -374.131 47.0727 1
-600 0 0 600 0 0 -48 144 0 4.30011 -359.415 58.6655 1
-600 0 0 600 0 0 -48 176 0 5.26669 -337.489 69.6492 1
-600 0 0 600 0 0 -48 208 0 6.5452 -313.899 68.2698 1
-600 0 0 600 0 0 -48 240 0 7.86827 -294.4 65.1243 1
-600 0 0 600 0 0 -48 272 0 9.05097 -275.398 59.6103 1
-600 0 0 600 0 0 -48 304 0 10.1805 -259.774 54.1483 1
-600 0 0 600 0 0 -48 336 0 10.938 -244.574 49.0516 1
-600 0 0 600 0 0 -48 368 0 11.5845 -231.212 44.1827 1
-600 0 0 600 0 0 -48 400 0 11.8976 -218.339 39.9973 1
-600 0 0 600 0 0 -16 -400 0 -3.88976 -218.183 -40.5529 1
-600 0 0 600 0 0 -16 -368 0 -3.76934 -230.921 -44.86 1
-600 0 0 600 0 0 -16 -336 0 -3.53808 -244.14 -49.8872 1
-600 0 0 600 0 0 -16 -304 0 -3.26988 -259.207 -55.1546 1
-600 0 0 600 0 0 -16 -272 0 -2.88506 -274.701 -60.8095 1
-600 0 0 600 0 0 -16 -240 0 -2.48358 -293.667 -66.5198 1
-600 0 0 600 0 0 -16 -208 0 -2.0504 -313.146 -69.7714 1
-600 0 0 600 0 0 -16 -176 0 -1.63149 -336.851 -71.2228 1
-600 0 0 600 0 0 -16 -144 0 -1.31239 -358.877 -60.0736 1
-600 0 0 600 0 0 -16 -112 0 -1.00379 -373.635 -48.2758 1
-600 0 0 600 0 0 -16 -80 0 -0.726672 -385.889 -34.5325 1
-600 0 0 600 0 0 -16 -48 0 -0.44278 -392.634 -20.7543 1
-600 0 0 600 0 0 -400 -144 0 -194.201 -424.931 -11.5579 1
-600 0 0 600 0 0 -16 16 0 0.147593 -396.428 6.9181 1
-600 0 0 600 0 0 -16 48 0 0.44278 -392.634 20.7543 1
-600 0 0 600 0 0 -16 80 0 0.726672 -385.889 34.5325 1
-600 0 0 600 0 0 -16 112 0 1.00379 -373.635 48.2758 1
-600 0 0 600 0 0 -16 144 0 1.31239 -358.877 60.0736 1
-600 0 0 600 0 0 -16 176 0 1.63149 -336.851 71.2228 1
-600 0 0 600 0 0 -16 208 0 2.0504 -313.146 69.7714 1
-600 0 0 600 0 0 -16 240 0 2.48358 -293.667 66.5198 1
-600 0 0 600 0 0 -16 272 0 2.88506 -274.701 60.8095 1
-600 0 0 600 0 0 -16 304 0 3.26988 -259.207 55.1546 1
-600 0 0 600 0 0 -16 336 0 3.53808 -244.14 49.8872 1
-600 0 0 600 0 0 -16 368 0 3.76934 -230.921 44.86 1
-600 0 0 600 0 0 -16 400 0 3.88976 -218.183 40.5529 1
-600 0 0 600 0 0 16 -400 0 3.88976 -218.183 -40.5529 1
-600 0 0 600 0 0 16 -368 0 3.76934 -230.921 -44.86 1
-600 0 0 600 0 0 16 -336 0 3.53808 -244.14 -49.8872 1
-600 0 0 600 0 0 16 -304 0 3.26988 -259.207 -55.1546 1
-600 0 0 600 0 0 16 -272 0 2.88506 -274.701 -60.8095 1
-600 0 0 600 0 0 16 -240 0 2.48358 -293.667 -66.5198 1
-600 0 0 600 0 0 16 -208 0 2.0504 -313.146 -69.7714 1
-600 0 0 600 0 0 16 -176 0 1.63149 -336.851 -71.2228 1
-600 0 0 600 0 0 16 -144 0 1.31239 -358.877 -60.0736 1
-600 0 0 600 0 0 16 -112 0 1.00379 -373.635 -48.2758 1
-600 0 0 600 0 0 16 -80 0 0.726672 -385.889 -34.5325 1
-600 0 0 600 0 0 16 -48 0 0.44278 -392.634 -20.7543 1
-600 0 0 600 0 0 16 -16 0 0.147593 -396.428 -6.9181 1
-600 0 0 600 0 0 16 16 0 -0.147593 -396.428 6.9181 1
-600 0 0 600 0 0 16 48 0 -0.44278 -392.634 20.7543 1
-600 0 0 600 0 0 16 80 0 -0.726672 -385.889 34.5325 1
-600 0 0 600 0 0 16 112 0 -1.00379 -373.635 48.2758 1
-600 0 0 600 0 0 16 144 0 -1.31239 -358.877 60.0736 1
-600 0 0 600 0 0 16 176 0 -1.63149 -336.851 71.2228 1
-600 0 0 600 0 0 16 208 0 -2.0504 -313.146 69.7714 1
-600 0 0 600 0 0 16 240 0 -2.48358 -293.667 66.5198 1
-600 0 0 600 0 0 16 272 0 -2.88506 -274.701 60.8095 1
-600 0 0 600 0 0 16 304 0 -3.26988 -259.207 55.1546 1
-600 0 0 600 0 0 16 336 0 -3.53808 -244.14 49.8872 1
-600 0 0 600 0 0 16 368 0 -3.76934 -230.921 44.86 1
-600 0 0 600 0 0 16 400 0 -3.88976 -218.183 40.5529 1
