# c1_x c1_y c1_z c2_x c2_y c2_z p1_x p1_y p1_z p2_x p2_y p2_z V cs
-600 0 0 600 0 0 16 -272 0 48 -272 0 10.2032 1
-600 0 0 600 0 0 48 -272 0 80 -272 0 10.7436 1
-600 0 0 600 0 0 80 -272 0 112 -272 0 13.4377 1
-600 0 0 600 0 0 112 -272 0 144 -272 0 14.6624 1
-600 0 0 600 0 0 144 -272 0 176 -272 0 19.9146 1
-600 0 0 600 0 0 176 -272 0 208 -272 0 21.1267 1
-600 0 0 600 0 0 208 -272 0 240 -272 0 26.2513 1
-600 0 0 600 0 0 240 -272 0 272 -272 0 26.8387 1
-600 0 0 600 0 0 272 -272 0 304 -272 0 30.5255 1
-600 0 0 600 0 0 304 -272 0 336 -272 0 30.9956 1
-600 0 0 600 0 0 336 -272 0 368 -272 0 33.0329 1
-600 0 0 600 0 0 368 -272 0 400 -272 0 33.1177 1
-600 0 0 600 0 0 -400 -272 0 -336 -272 0 66.1506 1
-600 0 0 600 0 0 -368 -272 0 -304 -272 0 64.0285 1
-600 0 0 600 0 0 -336 -272 0 -272 -272 0 61.5211 1
-600 0 0 600 0 0 -304 -272 0 -240 -272 0 57.3642 1
-600 0 0 600 0 0 -272 -272 0 -208 -272 0 53.0899 1
-600 0 0 600 0 0 -240 -272 0 -176 -272 0 47.378 1
-600 0 0 600 0 0 -208 -272 0 -144 -272 0 41.0413 1
-600 0 0 600 0 0 -176 -272 0 -112 -272 0 34.577 1
-600 0 0 600 0 0 -144 -272 0 -80 -272 0 28.1001 1
-600 0 0 600 0 0 -112 -272 0 -48 -272 0 24.1813 1
-600 0 0 600 0 0 -80 -272 0 -16 -272 0 20.9467 1
-600 0 0 600 0 0 -48 -272 0 16 -272 0 19.7115 1
-600 0 0 600 0 0 -16 -272 0 48 -272 0 19.7115 1
-600 0 0 600 0 0 16 -272 0 80 -272 0 20.9467 1
-600 0 0 600 0 0 48 -272 0 112 -272 0 24.1813 1
-600 0 0 600 0 0 80 -272 0 144 -272 0 28.1001 1
-600 0 0 600 0 0 112 -272 0 176 -272 0 34.577 1
-600 0 0 600 0 0 144 -272 0 208 -272 0 41.0413 1
-600 0 0 600 0 0 176 -272 0 240 -272 0 47.378 1
-600 0 0 600 0 0 208 -272 0 272 -272 0 53.0899 1
-600 0 0 600 0 0 240 -272 0 304 -272 0 57.3642 1
-600 0 0 600 0 0 272 -272 0 336 -272 0 61.5211 1
-600 0 0 600 0 0 304 -272 0 368 -272 0 64.0285 1
-600 0 0 600 0 0 336 -272 0 400 -272 0 66.1506 1
-600 0 0 600 0 0 -400 -240 0 -368 -240 0 40.8895 1
-600 0 0 600 0 0 -368 -240 0 -336 -240 0 40.1469 1
-600 0 0 600 0 0 -336 -240 0 -304 -240 0 36.7469 1
-600 0 0 600 0 0 -304 -240 0 -272 -240 0 35.9622 1
-600 0 0 600 0 0 -272 -240 0 -240 -240 0 31.1468 1
-600 0 0 600 0 0 -240 -240 0 -208 -240 0 30.3832 1
-600 0 0 600 0 0 -208 -240 0 -176 -240 0 23.745 1
-600 0 0 600 0 0 -176 -240 0 -144 -240 0 21.9776 1
-600 0 0 600 0 0 -144 -240 0 -112 -240 0 14.3187 1
-600 0 0 600 0 0 -112 -240 0 -80 -240 0 12.8075 1
-600 0 0 600 0 0 -80 -240 0 -48 -240 0 9.48291 1
-600 0 0 600 0 0 -48 -240 0 -16 -240 0 8.87241 1
-600 0 0 600 0 0 -16 -240 0 16 -240 0 8.08748 1
-600 0 0 600 0 0 16 -240 0 48 -240 0 8.87241 1
-600 0 0 600 0 0 48 -240 0 80 -240 0 9.48291 1
-600 0 0 600 0 0 80 -240 0 112 -240 0 12.8075 1
-600 0 0 600 0 0 112 -240 0 144 -240 0 14.3187 1
-600 0 0 600 0 0 144 -240 0 176 -240 0 21.9776 1
-600 0 0 600 0 0 176 -240 0 208 -240 0 23.745 1
-600 0 0 600 0 0 208 -240 0 240 -240 0 30.3832 1
-600 0 0 600 0 0 240 -240 0 272 -240 0 31.1468 1
-600 0 0 600 0 0 272 -240 0 304 -240 0 35.9622 1
-600 0 0 600 0 0 304 -240 0 336 -240 0 36.7469 1
